DATATIME,WINDSPEED,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,WINDPOWER
2021/10/2 0:00:00.000,5.3,216,2.8,66,821,19749.88182
2021/10/2 0:15:00.000,5.3,214,2.8,66,821,20855.94545
2021/10/2 0:30:00.000,5.3,213,2.8,66,821,21499.70152
2021/10/2 0:45:00.000,5.1,213,2.8,66,821,22142.49242
2021/10/2 1:00:00.000,5.1,212,2.8,66,821,22786.24848
2021/10/2 1:15:00.000,5.1,211,2.8,66,821,23627.86061
2021/10/2 1:30:00.000,5.4,210,2.7,67,821,24668.29394
2021/10/2 1:45:00.000,5.6,210,2.6,68,821,25708.72727
2021/10/2 2:00:00.000,6,209,2.5,69,821,26749.16061
2021/10/2 2:15:00.000,6.1,210,2.4,70,821,27169.00152
2021/10/2 2:30:00.000,6.1,212,2.3,72,821,26969.21515
2021/10/2 2:45:00.000,6.2,214,2.2,75,821,26768.46364
2021/10/2 3:00:00.000,6.2,217,2.1,77,821,26568.67727
2021/10/2 3:15:00.000,6.1,218,2,79,821,26039.77424
2021/10/2 3:30:00.000,6,220,1.9,81,821,25182.7197
2021/10/2 3:45:00.000,5.8,222,1.8,82,821,24324.7
2021/10/2 4:00:00.000,5.7,224,1.7,84,821,23467.64545
2021/10/2 4:15:00.000,5.7,225,1.6,85,821,22579.70606
2021/10/2 4:30:00.000,5.6,226,1.6,86,821,21661.84697
2021/10/2 4:45:00.000,5.6,227,1.5,87,821,20743.98788
2021/10/2 5:00:00.000,5.5,228,1.5,88,821,19826.12879
2021/10/2 5:15:00.000,5.5,229,1.5,88,821,18872.55909
2021/10/2 5:30:00.000,5.4,230,1.5,89,821,17883.27879
2021/10/2 5:45:00.000,5.2,230,1.5,89,821,16894.96364
2021/10/2 6:00:00.000,5.2,230,1.5,90,821,15905.68333
2021/10/2 6:15:00.000,5.1,231,1.7,90,821,15010.02273
2021/10/2 6:30:00.000,5.1,231,2.1,90,821,14207.01667
2021/10/2 6:45:00.000,5,231,2.5,89,821,13404.97576
2021/10/2 7:00:00.000,5,231,2.9,89,821,12601.9697
2021/10/2 7:15:00.000,5,231,3.5,88,821,11494.94091
2021/10/2 7:30:00.000,4.9,231,4.2,87,821,10082.92424
2021/10/2 7:45:00.000,4.8,230,4.9,85,821,8670.907576
2021/10/2 8:00:00.000,4.7,230,5.6,84,821,7258.890909
2021/10/2 8:15:00.000,4.8,229,6.2,82,821,6535.992424
2021/10/2 8:30:00.000,4.7,228,6.7,80,821,6007.965455
2021/10/2 8:45:00.000,4.8,225,7.3,78,822,5973.353636
2021/10/2 9:00:00.000,4.8,223,7.8,76,822,5938.741818
2021/10/2 9:15:00.000,4.9,221,8.3,74,822,6414.888182
